biosample,estres,tejido
SAMN05258401,,embryo
SAMN05258402,,embryo
SAMN05258403,,embryo
SAMN05291176,,seed
SAMN05327831,control,leaf
SAMN05327832,control,leaf
SAMN05327833,control,leaf
SAMN05327834,infest,leaf
SAMN05327835,infest,leaf
SAMN05327836,infest,leaf
SAMN05327837,infest,leaf
SAMN05327838,infest,leaf
SAMN05327839,infest,leaf
SAMN05327840,infest,leaf
SAMN05327841,infest,leaf
SAMN05327842,infest,leaf
SAMN05327843,control,leaf
SAMN05327844,control,leaf
SAMN05327845,control,leaf
SAMN05327846,infest,leaf
SAMN05327847,infest,leaf
SAMN05327848,infest,leaf
SAMN05327849,infest,leaf
SAMN05327850,infest,leaf
SAMN05327851,infest,leaf
SAMN05327852,infest,leaf
SAMN05327853,infest,leaf
SAMN05327854,infest,leaf
SAMN05503912,,root
SAMN05503913,,root
SAMN05503914,,root
SAMN05503915,,root
SAMN05503916,,root
SAMN05503917,,root
SAMN05580196,,leaf
SAMN05580197,,leaf
SAMN05580198,control,leaf
SAMN05580199,control,leaf
SAMN05580200,control,leaf
SAMN05580201,,leaf
SAMN05580202,,leaf
SAMN05580203,,leaf
SAMN05580204,,leaf
SAMN05580205,,leaf
SAMN05580206,,leaf
SAMN05580207,,leaf
SAMN05580208,control,leaf
SAMN05580209,control,leaf
SAMN05580210,control,leaf
SAMN05580211,,leaf
SAMN05580212,control,leaf
SAMN05580213,control,leaf
SAMN05580214,control,leaf
SAMN05580215,,leaf
SAMN05580216,,leaf
SAMN05580217,,leaf
SAMN05580218,control,leaf
SAMN05580219,control,leaf
SAMN05580220,control,leaf
SAMN05580221,,leaf
SAMN05580222,,leaf
SAMN05580223,,leaf
SAMN05580224,control,leaf
SAMN05580225,control,leaf
SAMN05580226,control,leaf
SAMN05580227,,leaf
SAMN05580228,,leaf
SAMN05580229,,leaf
SAMN05580230,control,leaf
SAMN05580231,control,leaf
SAMN05580232,control,leaf
SAMN05580233,,leaf
SAMN05580234,,leaf
SAMN05580235,,leaf
SAMN05580236,,leaf
SAMN05580237,,leaf
SAMN05601558,control,leaf
SAMN05601559,control,leaf
SAMN05601560,control,leaf
SAMN05601561,control,leaf
SAMN05714713,,root
SAMN05714714,,root
SAMN05714715,,root
SAMN05714716,,root
SAMN05755943,,leaf
SAMN05755944,,leaf
SAMN05755945,,leaf
SAMN05755946,,leaf
SAMN05755947,,leaf
SAMN05755948,,leaf
SAMN05755949,,leaf
SAMN05755950,,leaf
SAMN05755951,,leaf
SAMN05755952,,leaf
SAMN05755953,,leaf
SAMN05755954,,leaf
SAMN05755955,,leaf
SAMN05755956,,leaf
SAMN05755957,,leaf
SAMN05755958,,leaf
SAMN05755959,,leaf
SAMN05755960,,leaf
SAMN05755961,,leaf
SAMN05755962,,leaf
SAMN05755963,,leaf
SAMN05755964,,leaf
SAMN05755965,,leaf
SAMN05755966,,leaf
SAMN05908855,,root
SAMN05908856,control,root
SAMN05908868,,root
SAMN05908869,control,root
SAMN05908870,,root
SAMN05908871,control,root
SAMN05908872,,root
SAMN05908873,control,root
SAMN05908874,,root
SAMN05908875,control,root
SAMN05908876,,root
SAMN05908877,control,root
SAMN05908878,,root
SAMN05908880,control,root
SAMN05908881,,root
SAMN05908882,control,root
SAMN05908884,,root
SAMN05908887,control,root
SAMN05908888,,root
SAMN05908889,control,root
SAMN05908890,,root
SAMN05908891,control,root
SAMN05908892,,root
SAMN05908894,control,root
SAMN05915159,,leaf
SAMN05915160,,stem
SAMN05915161,,root
SAMN05915162,,leaf
SAMN05915163,,stem
SAMN05915164,,root
SAMN05915165,,leaf
SAMN05915166,,stem
SAMN05915167,,root
SAMN05915168,,leaf
SAMN05915169,,stem
SAMN05915170,,root
SAMN05929793,,root
SAMN05929794,,root
SAMN05929795,control,root
SAMN05937014,,seed
SAMN05937015,,seed
SAMN05937016,,seed
SAMN05937018,,seed
SAMN05937019,,seed
SAMN05937020,,seed
SAMN05937021,,seed
SAMN05937022,,seed
SAMN05937023,,seed
SAMN05937024,,seed
SAMN05937025,,seed
SAMN05937026,,seed
SAMN05969984,control,root
SAMN05970071,control,root
SAMN05970251,control,root
SAMN05970464,,root
SAMN05970465,,root
SAMN05970480,,root
SAMN05970534,,root
SAMN05970539,,root
SAMN05970540,,root
SAMN06158133,,leave
SAMN06158138,,leave
SAMN06158139,,leave
SAMN06158140,,leave
SAMN06158141,,leave
SAMN06158142,,leave
SAMN06158143,,leave
SAMN06158144,,leave
SAMN06212809,,whole
SAMN06212810,,whole
SAMN06212811,,whole
SAMN06212812,,whole
SAMN06212813,,whole
SAMN06212814,,whole
SAMN06212815,,whole
SAMN06212816,,whole
SAMN06287520,,seed
SAMN06287521,,seed
SAMN06287522,,seed
SAMN06287523,,seed
SAMN06287524,,seed
SAMN06287528,,seed
SAMN06313247,control,
SAMN06314242,control,
SAMN06314287,control,
SAMN06314299,drought,
SAMN06314345,drought,
SAMN06314374,control,
SAMN06314503,drought,
SAMN06314692,control,
SAMN06314697,control,
SAMN06314800,control,
SAMN06320227,,leave
SAMN06320228,,leave
SAMN06335258,,root
SAMN06434851,,root
SAMN06434852,,root
SAMN06434853,,root
SAMN06434854,,root
SAMN06434855,,root
SAMN06434856,,root
SAMN06435843,control,whole
SAMN06644736,,leaf
SAMN07109350,,leaf
SAMN07147960,,seed
SAMN07147961,,seed
SAMN07147962,,seed
SAMN07147963,,cotyledon
SAMN07147964,,cotyledon
SAMN07147965,,cotyledon
SAMN07147966,,embryo
SAMN07147967,,embryo
SAMN07147968,,embryo
SAMN07188001,,embryo
SAMN07188002,,embryo
SAMN07188003,,embryo
SAMN07188073,,seed
SAMN07188074,,seed
SAMN07188075,,seed
SAMN07188076,,seed
SAMN07188077,,seed
SAMN07188078,,seed
SAMN07188079,,embryo
SAMN07188080,,embryo
SAMN07188081,,embryo
SAMN07188082,,embryo
SAMN07188083,,embryo
SAMN07188336,,embryo
SAMN07188337,,embryo
SAMN07188338,,embryo
